Accession ID,Sample Collection Date,Location,lat,lon
GWHACDD01000001,2020/3/4,Pakistan/Gilgit,35.91868000000005,74.31245000000007
GWHACDE01000001,2020/1/10,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACDF01000001,2020/1/26,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACDG01000001,2020/1/26,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACDH01000001,2020/1/26,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACDI01000001,2020/1/25,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACDJ01000001,2020/1/25,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
GWHACEY01000001,2020/3/10,China/Anhui/Fuyang,32.900000000000034,115.81667000000004
GWHABKZ01000001,2019/12/30,China/Wuhan,30.643530000000055,114.32472000000007
GWHACAT01000001,2019/12/30,China/Wuhan,30.643530000000055,114.32472000000007
GWHACAU01000001,2019/12/30,China/Wuhan,30.643530000000055,114.32472000000007
GWHACAV01000001,2019/12/30,China/Wuhan,30.643530000000055,114.32472000000007
GWHACAW01000001,2019/12/30,China/Wuhan,30.643530000000055,114.32472000000007
GWHACAX01000001,2020/1/24,China/Beijing/Beijing,39.90750000000003,116.39723000000004
GWHACAY01000001,2020/1/25,China/Beijing/Beijing,39.90750000000003,116.39723000000004
GWHACAZ01000001,2020/1/28,China/Beijing/Beijing,39.90750000000003,116.39723000000004
GWHACBA01000001,2020/1/28,China/Beijing/Beijing,39.90750000000003,116.39723000000004
GWHACBB01000001,2020/1/27,China/Beijing/Beijing,39.90750000000003,116.39723000000004
GWHACBD01000001,2020/1/29,China/Beijing/Beijing,39.90750000000003,116.39723000000004
MN938384,2020/1/10,China/Guangdong/Shenzhen,22.545540000000074,114.06830000000002
MN975262,2020/1/11,China/Guangdong/Shenzhen,22.545540000000074,114.06830000000002
MN985325,2020/1/19,United States/Washington,38.890370000000075,-77.03195999999997
MN988713,2020/1/21,United States/Illinois/Chicago,41.884250000000065,-87.63244999999995
MN994467,2020/1/23,United States/California/LosAngeles,34.05349000000007,-118.24531999999999
MN994468,2020/1/22,United States/California/OrangeCounty,33.70322225700005,-117.76059493199995
MN997409,2020/1/22,United States/Arizona/Phoenix,33.44825000000003,-112.07579999999996
MN988668,2020/1/2,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
MN988669,2020/1/2,China/Hubei/Wuhan,30.583330000000046,114.26667000000009
MT007544,2020/1/25,Australia/Victoria/Clayton,-37.90745999999996,145.13197000000002
MT027062,2020/1/29,United States/California,36.37410569300005,-119.27022999999997
MT027063,2020/1/29,United States/California,36.37410569300005,-119.27022999999997
MT027064,2020/1/29,United States/California,36.37410569300005,-119.27022999999997
MT066175,2020/2/1,China/Taiwan/Taipei,25.05793004385713,121.55061
MT039888,2020/1/29,United States/Massachusetts,42.35867032400006,-71.71818499999995
MT039890,2020/1/20,SouthKorea,36.35627096300004,127.80639593300009
MT049951,2020/1/17,China/Yunnan,25.000000000000057,102.00000000000006
MT093631,2020/1/8,China,36.567348398000036,103.93002703300004
MT093571,2020/2/7,Sweden,64.71258554700006,17.260487956000077
MT118835,2020/2/23,United States/California/Solano,38.27793363200004,-121.92724052599999
MT123291,2020/1/29,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
MT123290,2020/2/5,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
LC528233,2020/2/10,Japan/Kanagawa,35.44773685000007,139.64250768400007
LC528232,2020/2/10,Japan/Kanagawa,35.44773685000007,139.64250768400007
MT126808,2020/2/28,Brazil,-10.769946428999958,-53.073466888999974
MT135041,2020/1/26,China/Beijing/Beijing,39.90750000000003,116.39723000000004
MT135042,2020/1/28,China/Beijing/Beijing,39.90750000000003,116.39723000000004
MT135043,2020/1/28,China/Beijing/Beijing,39.90750000000003,116.39723000000004
MT135044,2020/1/28,China/Beijing/Beijing,39.90750000000003,116.39723000000004
MT050493,2020/1/31,India/KeralaState,12.362280000000055,75.30816000000004
MT012098,2020/1/27,India/KeralaState,12.362280000000055,75.30816000000004
MT123292,2020/1/27,China/Guangdong/Guangzhou,23.116670000000056,113.25000000000011
